Area,Rooms,Code,Currency,Year,Average,January-March,April-June,July-September,October-December
center District,2-1,51410.0,NIS thousand,2024.0,,"1,333.1","1,410.1","1,528.9",
center District,2.5-3,51430.0,NIS thousand,2024.0,,"2,020.9","1,962.4","2,024.6",
center District,3.5-4,51450.0,NIS thousand,2024.0,,"2,534.6","2,571.2","2,581.9",
center District,4.5-5,51470.0,NIS thousand,2024.0,,"3,351.3","3,305.8","3,318.8",
center District,5.5-6,51490.0,NIS thousand,2024.0,,"4,087.7","4,057.5","4,176.7",
,,51500.0,NIS thousand,2024.0,,"3,242.3","3,341.0","3,231.2",
Tel Aviv District,2-1,51510.0,NIS thousand,2024.0,,"2,248.1","2,358.1","2,265.8",
Tel Aviv District,2.5-3,51530.0,NIS thousand,2024.0,,"2,641.8","2,860.9","2,622.7",
Tel Aviv District,3.5-4,51550.0,NIS thousand,2024.0,,"3,472.6","3,529.7","3,465.9",
Tel Aviv District,4.5-5,51570.0,NIS thousand,2024.0,,"4,280.8","4,330.2","4,277.6",
Tel Aviv District,5.5-6,51590.0,NIS thousand,2024.0,,"4,530.8","4,700.5","4,895.5",
,,51600.0,NIS thousand,2024.0,,"1,524.2","1,544.2","1,540.2",
South District,2-1,51610.0,NIS thousand,2024.0,,846.6,883.0,899.7,
South District,2.5-3,51630.0,NIS thousand,2024.0,,"1,152.8","1,133.0","1,160.5",
South District,3.5-4,51650.0,NIS thousand,2024.0,,"1,534.5","1,569.6","1,549.7",
South District,4.5-5,51670.0,NIS thousand,2024.0,,"2,083.7","2,073.4","2,002.3",
South District,5.5-6,51690.0,NIS thousand,2024.0,,"2,409.4","2,442.6","2,467.2",
,,51700.0,NIS thousand,2024.0,,"2,154.2","2,201.6","2,150.8",
Ashdod,2-1,51710.0,NIS thousand,2024.0,,"1,315.4","1,371.7","1,307.6",
Ashdod,2.5-3,51730.0,NIS thousand,2024.0,,"1,768.8","1,689.0","1,877.8",
Ashdod,3.5-4,51750.0,NIS thousand,2024.0,,"2,195.8","2,254.2","2,251.1",
Ashdod,4.5-5,51770.0,NIS thousand,2024.0,,"2,992.1","2,999.9","2,692.1",
Ashdod,5.5-6,51790.0,NIS thousand,2024.0,,,"3,533.0",,
,,51800.0,NIS thousand,2024.0,,"1,673.6","1,738.7","1,713.4",
Ashkelon,2-1,51810.0,NIS thousand,2024.0,,797.5,830.9,937.3,
Ashkelon,2.5-3,51830.0,NIS thousand,2024.0,,"1,209.3","1,312.6","1,288.3",
Ashkelon,3.5-4,51850.0,NIS thousand,2024.0,,"1,643.0","1,738.3","1,675.2",
Ashkelon,4.5-5,51870.0,NIS thousand,2024.0,,"2,191.1","2,199.0","2,259.9",
Ashkelon,5.5-6,51890.0,NIS thousand,2024.0,,"2,951.3","2,669.2","2,976.4",
,,51900.0,NIS thousand,2024.0,,"1,218.0","1,225.8","1,249.0",
Beer Sheva,2-1,51910.0,NIS thousand,2024.0,,610.9,637.3,621.5,
Beer Sheva,2.5-3,51930.0,NIS thousand,2024.0,,854.1,859.4,853.9,
Beer Sheva,3.5-4,51950.0,NIS thousand,2024.0,,"1,305.6","1,325.8","1,313.7",
Beer Sheva,4.5-5,51970.0,NIS thousand,2024.0,,"1,855.3","1,858.2","1,838.4",
Beer Sheva,5.5-6,51990.0,NIS thousand,2024.0,,"2,370.9","2,407.6","2,327.0",
,,52000.0,NIS thousand,2024.0,,"2,337.2","2,363.6","2,303.6",
Beit Shemesh,2-1,52010.0,NIS thousand,2024.0,,,,,
Beit Shemesh,2.5-3,52030.0,NIS thousand,2024.0,,"1,920.3","1,849.1","1,846.3",
Beit Shemesh,3.5-4,52050.0,NIS thousand,2024.0,,"2,215.1","2,332.9","2,266.6",
Beit Shemesh,4.5-5,52070.0,NIS thousand,2024.0,,"2,758.7","2,911.7","2,959.5",
Beit Shemesh,5.5-6,52090.0,NIS thousand,2024.0,,"3,422.5","3,390.2","3,248.7",
,,52100.0,NIS thousand,2024.0,,"2,392.2","2,395.1","2,418.7",
Bnei Brak,2-1,52110.0,NIS thousand,2024.0,,"1,583.8","1,650.0","1,739.6",
Bnei Brak,2.5-3,52130.0,NIS thousand,2024.0,,"1,930.5","1,896.6","2,021.5",
Bnei Brak,3.5-4,52150.0,NIS thousand,2024.0,,"2,468.1","2,602.3","2,553.1",
Bnei Brak,4.5-5,52170.0,NIS thousand,2024.0,,"3,234.5","3,303.6","3,312.3",
Bnei Brak,5.5-6,52190.0,NIS thousand,2024.0,,"3,360.3","3,141.6","3,291.9",
,,52200.0,NIS thousand,2024.0,,"2,311.8","2,332.2","2,365.7",
Bat Yam,2-1,52210.0,NIS thousand,2024.0,,"1,569.1","1,553.7","1,595.8",
Bat Yam,2.5-3,52230.0,NIS thousand,2024.0,,"1,979.0","1,943.0","2,041.7",
Bat Yam,3.5-4,52250.0,NIS thousand,2024.0,,"2,526.7","2,689.7","2,875.9",
Bat Yam,4.5-5,52270.0,NIS thousand,2024.0,,"3,882.6","3,595.5","3,645.0",
Bat Yam,5.5-6,52290.0,NIS thousand,2024.0,,,,,
,,53300.0,NIS thousand,2024.0,,"3,812.2","4,025.7","3,911.4",
Herzlliya,2-1,53310.0,NIS thousand,2024.0,,,"2,145.3","2,475.2",
Herzlliya,2.5-3,53330.0,NIS thousand,2024.0,,"2,949.3","2,827.8","2,955.8",
Herzlliya,3.5-4,53350.0,NIS thousand,2024.0,,"3,666.8","3,669.4","3,538.4",
Herzlliya,4.5-5,53370.0,NIS thousand,2024.0,,"4,691.5","4,944.2","4,973.8",
Herzlliya,5.5-6,53390.0,NIS thousand,2024.0,,,"6,268.6","6,605.6",
,,53400.0,NIS thousand,2024.0,,"2,023.4","2,117.3","2,055.2",
Hadera,2-1,53410.0,NIS thousand,2024.0,,"1,341.1","1,357.2","1,283.6",
Hadera,2.5-3,53430.0,NIS thousand,2024.0,,"1,546.8","1,609.0","1,581.7",
Hadera,3.5-4,53450.0,NIS thousand,2024.0,,"1,998.5","2,062.6","2,052.2",
Hadera,4.5-5,53470.0,NIS thousand,2024.0,,"2,394.8","2,493.6","2,550.0",
Hadera,5.5-6,53490.0,NIS thousand,2024.0,,"2,952.7","2,912.4","3,075.4",
,,52300.0,NIS thousand,2024.0,,"2,291.0","2,330.8","2,332.2",
Holon,2-1,52310.0,NIS thousand,2024.0,,"1,452.5","1,523.3","1,542.2",
Holon,2.5-3,52330.0,NIS thousand,2024.0,,"1,760.4","1,902.3","1,873.8",
Holon,3.5-4,52350.0,NIS thousand,2024.0,,"2,329.0","2,423.7","2,410.9",
Holon,4.5-5,52370.0,NIS thousand,2024.0,,"2,980.0","2,968.0","3,156.4",
Holon,5.5-6,52390.0,NIS thousand,2024.0,,"4,542.8","4,260.0","4,916.7",
,,52400.0,NIS thousand,2024.0,,"1,546.9","1,713.0","1,687.7",
Haifa,2-1,52410.0,NIS thousand,2024.0,,771.2,810.7,849.9,
Haifa,2.5-3,52430.0,NIS thousand,2024.0,,"1,179.1","1,201.7","1,250.9",
Haifa,3.5-4,52450.0,NIS thousand,2024.0,,"1,750.3","1,947.2","1,867.8",
Haifa,4.5-5,52470.0,NIS thousand,2024.0,,"2,603.2","2,714.2","2,750.1",
Haifa,5.5-6,52490.0,NIS thousand,2024.0,,"2,891.0","3,059.2","3,467.5",
,,52500.0,NIS thousand,2024.0,,"2,710.6","2,961.0","2,818.7",
Jerusalem,2-1,52510.0,NIS thousand,2024.0,,"1,823.9","1,916.2","1,844.2",
Jerusalem,2.5-3,52530.0,NIS thousand,2024.0,,"2,199.0","2,472.9","2,367.6",
Jerusalem,3.5-4,52550.0,NIS thousand,2024.0,,"2,977.8","3,116.9","3,077.5",
Jerusalem,4.5-5,52570.0,NIS thousand,2024.0,,"3,665.9","3,958.4","4,076.8",
Jerusalem,5.5-6,52590.0,NIS thousand,2024.0,,"5,033.9","5,236.5","4,787.8",
,,52600.0,NIS thousand,2024.0,,"2,902.3","3,181.5","3,066.8",
Kfar Saba,2-1,52610.0,NIS thousand,2024.0,,"1,806.0",,,
Kfar Saba,2.5-3,52630.0,NIS thousand,2024.0,,"2,292.1","2,503.9","2,261.8",
Kfar Saba,3.5-4,52650.0,NIS thousand,2024.0,,"2,783.9","2,913.0","3,007.1",
Kfar Saba,4.5-5,52670.0,NIS thousand,2024.0,,"3,648.6","3,801.3","3,651.8",
Kfar Saba,5.5-6,52690.0,NIS thousand,2024.0,,"4,131.3","4,960.6",,
,,52700.0,NIS thousand,2024.0,,"2,754.3","2,811.0","2,755.7",
Netanya,2-1,52710.0,NIS thousand,2024.0,,"1,177.0","1,387.3","1,350.0",
Netanya,2.5-3,52730.0,NIS thousand,2024.0,,"2,018.4","1,882.9","1,941.4",
Netanya,3.5-4,52750.0,NIS thousand,2024.0,,"2,553.6","2,669.2","2,690.1",
Netanya,4.5-5,52770.0,NIS thousand,2024.0,,"3,351.8","3,371.2","3,435.4",
Netanya,5.5-6,52790.0,NIS thousand,2024.0,,"4,220.1","4,557.4","3,720.9",
,,52800.0,NIS thousand,2024.0,,"2,639.3","2,568.3","2,664.8",
Petah Tiqwa,2-1,52810.0,NIS thousand,2024.0,,"1,420.9","1,314.8","1,644.7",
Petah Tiqwa,2.5-3,52830.0,NIS thousand,2024.0,,"1,929.2","1,925.1","2,013.3",
Petah Tiqwa,3.5-4,52850.0,NIS thousand,2024.0,,"2,436.6","2,488.3","2,488.4",
Petah Tiqwa,4.5-5,52870.0,NIS thousand,2024.0,,"3,164.3","3,155.3","3,216.7",
Petah Tiqwa,5.5-6,52890.0,NIS thousand,2024.0,,"4,148.0","3,842.8","4,125.6",
,,52900.0,NIS thousand,2024.0,,"2,776.9","2,898.8","2,724.8",
Rishon Lezion,2-1,52910.0,NIS thousand,2024.0,,"1,633.3","1,317.2","1,455.6",
Rishon Lezion,2.5-3,52930.0,NIS thousand,2024.0,,"2,156.0","2,056.5","2,146.4",
Rishon Lezion,3.5-4,52950.0,NIS thousand,2024.0,,"2,498.1","2,603.4","2,456.1",
Rishon Lezion,4.5-5,52970.0,NIS thousand,2024.0,,"3,399.7","3,555.1","3,588.0",
Rishon Lezion,5.5-6,52990.0,NIS thousand,2024.0,,"3,965.5","3,985.3","3,997.8",
,,53000.0,NIS thousand,2024.0,,"2,551.5","2,542.6","2,488.1",
Rehovot,2-1,53010.0,NIS thousand,2024.0,,,924.5,"1,261.0",
Rehovot,2.5-3,53030.0,NIS thousand,2024.0,,"1,973.1","1,976.3","2,040.9",
Rehovot,3.5-4,53050.0,NIS thousand,2024.0,,"2,421.2","2,425.9","2,328.8",
Rehovot,4.5-5,53070.0,NIS thousand,2024.0,,"3,271.0","3,123.3","2,954.2",
Rehovot,5.5-6,53090.0,NIS thousand,2024.0,,"3,560.8","3,929.9","3,932.8",
,,53100.0,NIS thousand,2024.0,,"2,971.0","3,142.9","3,139.7",
Ramat Gan,2-1,53110.0,NIS thousand,2024.0,,"1,814.7","1,783.6","2,019.3",
Ramat Gan,2.5-3,53130.0,NIS thousand,2024.0,,"2,404.3","2,631.7","2,544.4",
Ramat Gan,3.5-4,53150.0,NIS thousand,2024.0,,"3,149.2","3,314.4","3,330.8",
Ramat Gan,4.5-5,53170.0,NIS thousand,2024.0,,"3,971.0","3,943.4","4,355.3",
Ramat Gan,5.5-6,53190.0,NIS thousand,2024.0,,,,"4,613.9",
,,53200.0,NIS thousand,2024.0,,"4,169.2","4,157.9","4,135.4",
Tel Aviv,2-1,53210.0,NIS thousand,2024.0,,"2,750.3","2,862.5","2,760.5",
Tel Aviv,2.5-3,53230.0,NIS thousand,2024.0,,"3,657.0","3,859.3","3,635.1",
Tel Aviv,3.5-4,53250.0,NIS thousand,2024.0,,"4,967.3","4,824.5","4,866.1",
Tel Aviv,4.5-5,53270.0,NIS thousand,2024.0,,"6,236.6","6,254.8","6,517.7",
Tel Aviv,5.5-6,53290.0,NIS thousand,2024.0,,,,,
